UserID	WindowID	Split	ApplicationDate	JobID
769	1	Test	2012-04-09 18:59:28.107	174594
769	1	Test	2012-04-09 18:59:30.947	478877
769	1	Test	2012-04-09 18:59:25.167	1039146
769	1	Test	2012-04-09 18:59:31.2	1069766
769	1	Test	2012-04-09 18:59:30.247	900935
769	1	Test	2012-04-09 18:59:30.993	344549
769	1	Test	2012-04-09 18:59:26.83	7620
769	1	Test	2012-04-09 18:59:25.017	497411
769	1	Test	2012-04-09 18:59:24.3	512686
769	1	Test	2012-04-09 18:59:24.853	195570
769	1	Test	2012-04-09 18:59:30.597	814990
769	1	Test	2012-04-09 18:59:25.74	272504
769	1	Test	2012-04-09 18:59:26.19	624249
2011	1	Test	2012-04-22 23:29:52.833	1051407
2011	1	Test	2012-04-22 23:29:55.46	212273
2011	1	Test	2012-04-22 23:36:32.073	551678
2241	1	Test	2012-04-02 10:56:51.853	996870
2652	1	Test	2012-04-07 16:39:56.46	1007701
2652	1	Test	2012-04-07 16:39:17.923	515420
2652	1	Test	2012-04-07 23:19:15.707	152707
2652	1	Test	2012-04-07 16:37:39.317	263727
2652	1	Test	2012-04-07 23:21:13.707	311769
2652	1	Test	2012-04-07 23:24:04.17	860501
2652	1	Test	2012-04-05 20:23:56.93	576079
2652	1	Test	2012-04-09 19:25:37.223	567681
2652	1	Test	2012-04-08 15:04:45.083	595627
2652	1	Test	2012-04-07 16:36:17.123	327678
2652	1	Test	2012-04-08 15:00:29.927	862530
2652	1	Test	2012-04-17 08:12:58.44	582347
2652	1	Test	2012-04-07 16:32:18.5	148571
2652	1	Test	2012-04-03 07:48:38.187	1010124
2652	1	Test	2012-04-08 15:03:32.413	999242
2652	1	Test	2012-04-08 19:59:37.773	874378
2652	1	Test	2012-04-07 16:36:41.297	284009
2848	1	Test	2012-04-19 12:18:27.457	55049
2848	1	Test	2012-04-19 12:17:59.643	1080737
4368	1	Test	2012-04-05 15:33:30.497	202246
4368	1	Test	2012-04-05 15:33:32.19	1061158
4368	1	Test	2012-04-05 15:33:33.02	131297
4724	1	Test	2012-04-08 21:20:46.423	1115815
4724	1	Test	2012-04-08 21:42:22.41	1101630
4724	1	Test	2012-04-09 20:02:23.693	502027
4724	1	Test	2012-04-06 15:13:28.377	694694
4724	1	Test	2012-04-08 21:17:05.953	152528
7587	1	Test	2012-04-20 11:33:27.437	544461
8189	1	Test	2012-04-02 03:09:19.033	266927
8189	1	Test	2012-04-02 02:56:37.99	562659
8189	1	Test	2012-04-02 02:58:27.11	11744
8189	1	Test	2012-04-19 21:07:14.393	79368
9280	1	Test	2012-04-06 16:02:18.11	454
9280	1	Test	2012-04-05 16:50:58.14	377596
9280	1	Test	2012-04-06 16:02:18.46	600484
9280	1	Test	2012-04-05 16:41:05.177	667899
9280	1	Test	2012-04-05 16:41:05.68	221989
9280	1	Test	2012-04-09 13:54:11.33	583946
9280	1	Test	2012-04-06 16:02:17.503	506217
9280	1	Test	2012-04-09 14:28:26.807	534768
9280	1	Test	2012-04-06 16:02:17.597	62247
9280	1	Test	2012-04-06 16:02:18.387	16395
9280	1	Test	2012-04-06 16:02:18.873	501
9280	1	Test	2012-04-05 16:57:42.463	571600
9280	1	Test	2012-04-06 16:02:19.65	600506
9280	1	Test	2012-04-06 16:02:17.723	220647
9280	1	Test	2012-04-06 16:02:19.183	198970
9280	1	Test	2012-04-19 11:32:35.13	274706
9280	1	Test	2012-04-06 16:05:48.13	774273
9280	1	Test	2012-04-06 16:02:18.07	794197
9280	1	Test	2012-04-06 16:02:18.637	347139
11447	1	Test	2012-04-05 07:41:31.98	632037
11447	1	Test	2012-04-05 07:41:32.3	864529
14548	1	Test	2012-04-06 17:12:34	959551
14548	1	Test	2012-04-06 16:51:07.353	774648
14548	1	Test	2012-04-06 17:09:03.957	607183
15169	1	Test	2012-04-01 13:11:48.127	928684
15847	1	Test	2012-04-20 05:46:58.02	682450
15847	1	Test	2012-04-09 10:52:09.337	212938
18206	1	Test	2012-04-04 12:51:38.78	1025888
18206	1	Test	2012-04-15 21:13:03.983	33483
18206	1	Test	2012-04-01 23:39:18.05	1090901
18206	1	Test	2012-04-15 21:13:04.15	1018267
18206	1	Test	2012-04-04 13:04:35.267	778607
18206	1	Test	2012-04-20 19:57:04.907	709253
18206	1	Test	2012-04-15 21:13:04.527	334527
18206	1	Test	2012-04-04 12:53:13.17	791767
18206	1	Test	2012-04-15 21:12:59.97	861185
18206	1	Test	2012-04-04 12:50:59.607	939211
18206	1	Test	2012-04-15 21:13:03.213	797831
18206	1	Test	2012-04-04 12:52:37.657	522883
18206	1	Test	2012-04-01 23:43:47.243	1073738
18206	1	Test	2012-04-01 23:52:37.21	1066126
18206	1	Test	2012-04-01 23:35:09.8	457031
18647	1	Test	2012-04-04 10:29:24.327	575553
18647	1	Test	2012-04-04 10:29:23.903	752508
18647	1	Test	2012-04-14 13:27:02.947	684352
18647	1	Test	2012-04-04 10:29:25.333	1076106
18647	1	Test	2012-04-04 10:29:22.27	245226
18647	1	Test	2012-04-04 10:29:24.147	790406
20360	1	Test	2012-04-03 13:42:10.787	13313
20360	1	Test	2012-04-03 13:42:10.64	812531
21247	1	Test	2012-04-14 13:43:00.127	980261
21381	1	Test	2012-04-03 16:08:20.957	405785
21381	1	Test	2012-04-03 14:49:08.033	636304
21381	1	Test	2012-04-05 01:50:58.24	774055
23692	1	Test	2012-04-03 08:47:42.583	811249
23918	1	Test	2012-04-14 22:56:12.007	261465
24010	1	Test	2012-04-17 08:57:57.073	436868
24010	1	Test	2012-04-09 20:56:13.86	508438
25054	1	Test	2012-04-30 13:56:15.577	681389
25269	1	Test	2012-04-16 22:57:12.163	793106
25429	1	Test	2012-04-09 19:05:20.373	39163
25429	1	Test	2012-04-09 19:05:16.133	869189
25429	1	Test	2012-04-09 19:05:17.767	854446
25429	1	Test	2012-04-09 19:05:17.737	209532
25429	1	Test	2012-04-09 19:05:20.577	538454
25433	1	Test	2012-04-05 23:41:44.013	16703
25433	1	Test	2012-04-05 23:41:42.093	567091
25433	1	Test	2012-04-05 23:41:44.19	401362
